,DATE,CORESTICKM159SFRBATL
0,1968-01-31,3.65186106
1,1968-02-29,3.673819411
2,1968-03-31,4.142163975
3,1968-04-30,4.155828095
4,1968-05-31,4.088245437
5,1968-06-30,4.545569347
6,1968-07-31,4.753076334
7,1968-08-31,4.9466066
8,1968-09-30,4.948246979
9,1968-10-31,5.182592347
10,1968-11-30,5.399387944
11,1968-12-31,5.706347843
12,1969-01-31,5.746196961
13,1969-02-28,5.749956071
14,1969-03-31,6.125157849
15,1969-04-30,6.505620421
16,1969-05-31,6.780633974
17,1969-06-30,6.375966005
18,1969-07-31,6.389268621
19,1969-08-31,6.414746498
20,1969-09-30,6.834758299
21,1969-10-31,6.560106336
22,1969-11-30,6.437390535
23,1969-12-31,6.402163808
24,1970-01-31,6.592370014
25,1970-02-28,7.053805927
26,1970-03-31,6.993096123
27,1970-04-30,6.817838113
28,1970-05-31,6.947734731
29,1970-06-30,7.151974844
30,1970-07-31,7.00787567
31,1970-08-31,7.114872285
32,1970-09-30,7.081263039
33,1970-10-31,7.057638255
34,1970-11-30,7.327620064
35,1970-12-31,7.342681298
36,1971-01-31,7.014858012
37,1971-02-28,6.329604979
38,1971-03-31,5.50160847
39,1971-04-30,5.306250794
40,1971-05-31,5.060279237
41,1971-06-30,5.239199701
42,1971-07-31,5.165044197
43,1971-08-31,4.913620811
44,1971-09-30,4.672385308
45,1971-10-31,4.376576593
46,1971-11-30,3.953153899
47,1971-12-31,3.677258309
48,1972-01-31,3.728280469
49,1972-02-29,3.841502967
50,1972-03-31,4.057916253
51,1972-04-30,3.971403024
52,1972-05-31,3.863863418
53,1972-06-30,3.488589959
54,1972-07-31,3.467340855
55,1972-08-31,3.366129082
56,1972-09-30,3.1247262
57,1972-10-31,3.331141241
58,1972-11-30,3.268535943
59,1972-12-31,3.147816809
60,1973-01-31,2.842802671
61,1973-02-28,2.881142745
62,1973-03-31,2.929374136
63,1973-04-30,3.031703085
64,1973-05-31,3.175423207
65,1973-06-30,3.098743668
66,1973-07-31,3.013319714
67,1973-08-31,3.322713188
68,1973-09-30,3.944607922
69,1973-10-31,4.765238145
70,1973-11-30,4.927794502
71,1973-12-31,5.30805948
72,1974-01-31,5.845776926
73,1974-02-28,6.291538116
74,1974-03-31,6.816162733
75,1974-04-30,7.104721156
76,1974-05-31,7.728315605
77,1974-06-30,8.616369341
78,1974-07-31,9.526994824
79,1974-08-31,10.103211029
80,1974-09-30,10.593110106
81,1974-10-31,10.561468061
82,1974-11-30,10.985727169
83,1974-12-31,11.496042915
84,1975-01-31,11.624378564
85,1975-02-28,11.784135357
86,1975-03-31,11.573788456
87,1975-04-30,11.698351766
88,1975-05-31,10.926931315
89,1975-06-30,10.432971739
90,1975-07-31,9.76743143
91,1975-08-31,8.920589927
92,1975-09-30,8.520421165
93,1975-10-31,8.109587525
94,1975-11-30,8.092959791
95,1975-12-31,7.685189103
96,1976-01-31,7.691042386
97,1976-02-29,7.373666255
98,1976-03-31,7.334813689
99,1976-04-30,6.847460223
100,1976-05-31,6.965887097
101,1976-06-30,6.871017008
102,1976-07-31,7.088593777
103,1976-08-31,7.352526572
104,1976-09-30,7.092183496
105,1976-10-31,6.878373933
106,1976-11-30,6.612229044
107,1976-12-31,6.196677638
108,1977-01-31,6.048908185
109,1977-02-28,6.05231412
110,1977-03-31,6.102888398
111,1977-04-30,6.580655715
112,1977-05-31,6.741041444
113,1977-06-30,6.920217354
114,1977-07-31,6.881150829
115,1977-08-31,6.832672177
116,1977-09-30,6.873489359
117,1977-10-31,6.950144555
118,1977-11-30,6.999499128
119,1977-12-31,7.363992642
120,1978-01-31,7.371987718
121,1978-02-28,7.341035476
122,1978-03-31,7.433603181
123,1978-04-30,7.413807475
124,1978-05-31,7.643491412
125,1978-06-30,7.679164103
126,1978-07-31,7.912838518
127,1978-08-31,8.176594615
128,1978-09-30,8.576148162
129,1978-10-31,9.03646557
130,1978-11-30,9.211524761
131,1978-12-31,9.058012586
132,1979-01-31,9.070516336
133,1979-02-28,9.571356337
134,1979-03-31,9.675145162
135,1979-04-30,9.918953512
136,1979-05-31,10.082376559
137,1979-06-30,10.269173247
138,1979-07-31,10.50434739
139,1979-08-31,10.93575743
140,1979-09-30,10.98372295
141,1979-10-31,11.257284188
142,1979-11-30,11.926588317
143,1979-12-31,12.734186684
144,1980-01-31,13.469735746
145,1980-02-29,13.599492679
146,1980-03-31,14.331667424
147,1980-04-30,14.755204998
148,1980-05-31,15.115272835
149,1980-06-30,15.774166719
150,1980-07-31,14.133410238
151,1980-08-31,13.268359535
152,1980-09-30,13.087752647
153,1980-10-31,13.084188753
154,1980-11-30,12.870601808
155,1980-12-31,12.685251999
156,1981-01-31,12.018100571
157,1981-02-28,11.229271193
158,1981-03-31,10.319341471
159,1981-04-30,9.710596634
160,1981-05-31,9.603160634
161,1981-06-30,9.212167638
162,1981-07-31,11.238230349
163,1981-08-31,11.81874206
164,1981-09-30,12.228963711
165,1981-10-31,11.266251913
166,1981-11-30,10.524035314
167,1981-12-31,9.855791699
168,1982-01-31,9.469843405
169,1982-02-28,9.539828014
170,1982-03-31,8.890430545
171,1982-04-30,9.081124943
172,1982-05-31,9.052945034
173,1982-06-30,8.878235542
174,1982-07-31,7.889386151
175,1982-08-31,7.329095724
176,1982-09-30,5.979568161
177,1982-10-31,5.978948458
178,1982-11-30,5.304532965
179,1982-12-31,4.248605204
180,1983-01-31,4.424606951
181,1983-02-28,4.356216055
182,1983-03-31,4.586331541
183,1983-04-30,4.187719488
184,1983-05-31,3.285270905
185,1983-06-30,2.582464401
186,1983-07-31,2.370321394
187,1983-08-31,2.293245829
188,1983-09-30,2.688915363
